token,type,score,cummulative percentage
dobog,VERB,11,69.15
álló,ADJ,11,69.18
hó,NOUN,11,69.2
zsíros,ADJ,11,69.23
zár,VERB,11,69.25
kedves,ADJ,11,69.28
este,NOUN,11,69.3
következő,ADJ,11,69.33
várrom,NOUN,11,69.35
hét,NOUN,11,69.38
gyakorlat,NOUN,11,69.4
árulás,NOUN,11,69.43
közeledik,VERB,11,69.45
menekül,VERB,11,69.47
megráz,VERB,11,69.5
vacsora,NOUN,11,69.52
névsor,NOUN,11,69.55
megver,VERB,11,69.57
jövő,NOUN,11,69.6
belép,VERB,11,69.62
5.,ADJ,11,69.65
megtörténik,VERB,11,69.67
hazamegy,VERB,11,69.7
felül,VERB,11,69.72
második,ADJ,11,69.75
jelenik,VERB,11,69.77
tartalék,NOUN,11,69.8
birodalom,NOUN,11,69.82
bejegyzés,NOUN,11,69.85
muzsika,NOUN,10,69.87
tekintet,NOUN,10,69.89
tavaszi,ADJ,10,69.92
végez,VERB,10,69.94
hamar,ADV,10,69.96
csuk,VERB,10,69.98
elolvas,VERB,10,70.01
ballag,VERB,10,70.03
mondogat,VERB,10,70.05
mozdulat,NOUN,10,70.07
hátranéz,VERB,10,70.1
keserűség,NOUN,10,70.12
befordul,VERB,10,70.14
odaér,VERB,10,70.16
használ,VERB,10,70.19
pöfög,VERB,10,70.21
valahol,ADV,10,70.23
kinevez,VERB,10,70.26
óvatos,ADJ,10,70.28
szerény,ADJ,10,70.3
éles,ADJ,10,70.32
táncol,VERB,10,70.35
úgyis,ADV,10,70.37
jöhet,VERB,10,70.39
délután,NOUN,10,70.41
otthon,ADV,10,70.44
isten,NOUN,10,70.46
sötét,NOUN,10,70.48
sás,NOUN,10,70.5
veszt,VERB,10,70.53
harag,NOUN,10,70.55
visszafojt,VERB,10,70.57
kimászik,VERB,10,70.59
távcső,NOUN,10,70.62
türelem,NOUN,10,70.64
önt,VERB,10,70.66
belekapaszkodik,VERB,10,70.68
belát,VERB,10,70.71
tisztás,NOUN,10,70.73
visszatér,VERB,10,70.75
futás,NOUN,10,70.78
utcai,NOUN,10,70.8
gyertek,VERB,10,70.82
megrág,VERB,10,70.84
b,NOUN,10,70.87
szabályszerű,ADJ,10,70.89
barack,NOUN,10,70.91
követ,VERB,10,70.93
megenged,VERB,10,70.96
kirohan,VERB,10,70.98
lehorgaszt,VERB,10,71.0
fegyvertáros,NOUN,10,71.02
hős,NOUN,10,71.05
katonás,ADJ,10,71.07
kimond,VERB,10,71.09
megbocsát,VERB,10,71.11
bekiált,VERB,10,71.14
tüzel,VERB,10,71.16
hadosztály,NOUN,10,71.18
gépház,NOUN,10,71.2
nagykönyv,NOUN,10,71.23
heccel,VERB,10,71.25
feleség,NOUN,10,71.27
díszokirat,NOUN,10,71.3
bunsen-lámpa,NOUN,9,71.32
folyik,VERB,9,71.34
összes,ADJ,9,71.36
friss,ADJ,9,71.38
szellő,NOUN,9,71.4
föl,ADV,9,71.42
tintatartó,NOUN,9,71.44
irány,NOUN,9,71.46
odasúg,VERB,9,71.48
állat,NOUN,9,71.5
szorít,VERB,9,71.52
oszlik,VERB,9,71.54
hasít,VERB,9,71.56
drága,ADJ,9,71.58
törökmézes,NOUN,9,71.6
közel,NOUN,9,71.62
asztal,NOUN,9,71.64
holnap,NOUN,9,71.66
veszekedés,NOUN,9,71.68
süt,VERB,9,71.7
látható,ADJ,9,71.72
gőzmozdony,NOUN,9,71.74
játék,NOUN,9,71.76
üveg,NOUN,9,71.78
fiatalabbik,ADJ,9,71.8
utolér,VERB,9,71.82
továbbmegy,VERB,9,71.84
igazságtalanság,NOUN,9,71.86
dohánypor,NOUN,9,71.89
prüszköl,VERB,9,71.91
darabka,NOUN,9,71.93
mered,VERB,9,71.95
lakó,NOUN,9,71.97
kémény,NOUN,9,71.99
ló,NOUN,9,72.01
tő,NOUN,9,72.03
elmulaszt,VERB,9,72.05
sétál,VERB,9,72.07
fenn,ADV,9,72.09
visszafordul,VERB,9,72.11
kapaszkodik,VERB,9,72.13
alacsony,ADJ,9,72.15
gúnyos,ADJ,9,72.17
utánoz,VERB,9,72.19
összecsap,VERB,9,72.21
hidegvér,NOUN,9,72.23
pihenj,INTJ,9,72.25
megindul,VERB,9,72.27
noteszkönyv,NOUN,9,72.29
általános,ADJ,9,72.31
igazán,ADV,9,72.33
visel,VERB,9,72.35
szokás,NOUN,9,72.37
ügy,NOUN,9,72.39
gyűlik,VERB,9,72.41
jólesik,VERB,9,72.43
valamelyik,PRON,9,72.46
kihúz,VERB,9,72.48
birodalm,NOUN,9,72.5
veszedelmes,ADJ,9,72.52
sietve,ADV,9,72.54
megdobban,VERB,9,72.56
akácfa,NOUN,9,72.58
benéz,VERB,9,72.6
mászás,NOUN,9,72.62
láthat,VERB,9,72.64
szorul,VERB,9,72.66
üveggolyó,NOUN,9,72.68
zsebkendő,NOUN,9,72.7
hallgatózik,VERB,9,72.72
kidug,VERB,9,72.74
hasadék,NOUN,9,72.76
imént,ADV,9,72.78
lehajol,VERB,9,72.8
spárga,NOUN,9,72.82
ijedős,ADJ,9,72.84
figyelem,NOUN,9,72.86
felejt,VERB,9,72.88
megmozdul,VERB,9,72.9
gyertya,NOUN,9,72.92
fegyvertár,NOUN,9,72.94
meggyújt,VERB,9,72.96
elkiált,VERB,9,72.98
utána,PRON,9,73.0
medence,NOUN,9,73.02
ordítás,NOUN,9,73.05
becsap,VERB,9,73.07
bíz,VERB,9,73.09
köteles,ADJ,9,73.11
szippant,VERB,9,73.13
papa,NOUN,9,73.15
tehet,VERB,9,73.17
dug,VERB,9,73.19
szenved,VERB,9,73.21
jókedv,NOUN,9,73.23
felragyog,VERB,9,73.25
bába,NOUN,9,73.27
